comments,sentiments,compound
DSS should invite the president.,pos,0.1531
These are the same youths dt want to take over from the present leaders.Rubbish,pos,0.0772
what we have in offa is open cult and not not secreat,neu,0.0
When were they awarded?,pos,0.4019
Very sad this is coming from my state,neg,-0.5256
Fools!,neg,-0.5411
Imagine brandishing criminality. ,neu,0.0
"with the set of Youths society is breeding,   they'll be worse in leadership compare to current leaders.",neg,-0.4767
These set of Youths will also clamour for relinquishing of power to them? Very anyhow Youths,neu,0.0
I just think you deserve it   ,neu,0.0
Maybe their SUG are members,neu,0.0
why is everyone here surprised!? ,neu,0.0
isn't this the same way our leaders in government dignify mediocrity giving awards to undeserving element in the society. ,pos,0.6124
even the royal fathers and traditional rulers are not left out of this trend. who knows they might be contributing to the well-being and growth of students! ,pos,0.4389
Oh my country! ,neu,0.0
Nigeria I hail thee. ,pos,0.0772
A land filled with surprises ,pos,0.2263
A land enameled with knowledge ,neu,0.0
A land tucked with wisdom ,pos,0.5267
But wallow in the pool of unlimited folly.,neu,0.0
Nothing  person no go see for this Nigeria life.,pos,0.2235
"If the SUG swapped places with the current administration,   Boko Haram,   IPOB,   Shiite,   bandits,   Fulani herdsmen and Niger Delta Militants would have been given the highest National Honour ",pos,0.5719
How do you know ALORA group  Cult group,neu,0.0
"what if the ALORA  acronym of a respected association on that campus and not necessarily the ""ALORA"" that comes to your mind",pos,0.4767
Are you sure it's not a set up? I was expecting a snapshot of said SUG president handing over the plaque,pos,0.3182
Nairaland and stale news  ,neu,0.0
"Let the award hold and on the day of the award,   let security agents hunt down everyone within and around that venue. Those who attempt to run should be shot dead. ",pos,0.6249
I am not surprised.,neg,-0.1695
It's crystal clear that majority of the SUG members belong to the different cult groups,pos,0.3818
First time hearing the name of the school though.,neu,0.0
What did I just read? ,neu,0.0
Congrats to the winners ,pos,0.7579
"What do you expect? It is an institution located in a region that loves cultism,   rituals,   rape,   armed robbery,   skull harvesting etc ",neg,-0.25
Wole Soyinka their brother was the pioneer founding member of cultism so what's the surprise here?,pos,0.3321
Was it not in Offa that armed robbery attack on a bank claimed lives?,neg,-0.4767
"Please I need a website,   text me your price",pos,0.3182
Op please can you post the link of the source of your post. It is high time we verify credibility of any news before believing it. The way fake news are being circulated nowadays is pathetic.,neg,-0.6705
 twas finished before it was even created bruh.,pos,0.25
"This shouldn't be a surprise to us at all,   shebi we heard the news some months ago when a set of cultist donated some materials to NPF in a particular state.",neg,-0.2057
"It is time for men of integrity or youths of strong ethical standard to lead. Corruption cuts across all age brackets in the country. See ordinary SUG,   the level of evil. Imagine that SUG leaders becomes governor or senator tomorrow,   what he will do.",pos,0.3818
"It is a shame,   they did not give the award to best graduating student,   best faculty students. It is Aye,   and Eye. What evil!",neg,-0.3054
problem for who no be cultist ,neg,-0.5994
Yorubas and cultism are really close.,neu,0.0
If you doubt go and ask Wole Soyinka,neg,-0.3612
Nigeria youths are just damned,neg,-0.3818
"If  award make they give them,   make peace reign! ",pos,0.807
leaders of tomorrow indeed. If you hear them blabbing and complaining about the older generations you'll think they're better of.,pos,0.2732
"How about Aye and Eye,   respected associations?",pos,0.4767
You made my day with this your comment  ,neu,0.0
"I think if you really know that Offa poly,   you will understand the reason why the SUG comply to awards all the Big boss on campus.  ",pos,0.4588
His life and family may be at stake.,neu,0.0
Such is life,neu,0.0
To what end do you always will to drive a tribally bigoted point ,neu,0.0
every right thinking person knows that cultism is a thing dat thrives in The society and it berate common sense to  attest  it to  tribe abi youdo una usual yoruba vs igbo and other forms of bigotry,neu,0.0
To what end do you always will to drive a tribally bigoted point ,neu,0.0
